day,hour,arr_eid,uv,pv,,,,day,hour,arr_eid,uv,pv,,,uvdiff,pvdiff
2025/12/25,0,chatroom_entrance_clk,4181,4285,,,,2025/12/24,0,chatroom_entrance_clk,4093,4212,,,,
2025/12/25,0,chatroom_entrance_exp,375040,425004,,,,2025/12/24,0,chatroom_entrance_exp,353922,399464,,,21118,25540
2025/12/25,1,chatroom_entrance_clk,1869,1936,,,,2025/12/24,1,chatroom_entrance_clk,1849,1901,,,,
2025/12/25,1,chatroom_entrance_exp,152279,180265,,,,2025/12/24,1,chatroom_entrance_exp,144255,169686,,,8024,10579
2025/12/25,2,chatroom_entrance_clk,1455,1541,,,,2025/12/24,2,chatroom_entrance_clk,1351,1416,,,,
2025/12/25,2,chatroom_entrance_exp,100728,135981,,,,2025/12/24,2,chatroom_entrance_exp,95207,127734,,,5521,8247
2025/12/25,3,chatroom_entrance_clk,952,1014,,,,2025/12/24,3,chatroom_entrance_clk,917,952,,,,
2025/12/25,3,chatroom_entrance_exp,64186,83912,,,,2025/12/24,3,chatroom_entrance_exp,62854,82177,,,1332,1735
2025/12/25,4,chatroom_entrance_clk,761,803,,,,2025/12/24,4,chatroom_entrance_clk,832,856,,,,
2025/12/25,4,chatroom_entrance_exp,52351,67525,,,,2025/12/24,4,chatroom_entrance_exp,51319,66252,,,1032,1273
2025/12/25,5,chatroom_entrance_clk,698,721,,,,2025/12/24,5,chatroom_entrance_clk,686,708,,,,
2025/12/25,5,chatroom_entrance_exp,56038,64394,,,,2025/12/24,5,chatroom_entrance_exp,52901,60579,,,3137,3815
2025/12/25,6,chatroom_entrance_clk,1147,1186,,,,2025/12/24,6,chatroom_entrance_clk,1047,1069,,,,
2025/12/25,6,chatroom_entrance_exp,112359,125233,,,,2025/12/24,6,chatroom_entrance_exp,106543,118092,,,5816,7141
2025/12/25,7,chatroom_entrance_clk,1629,1674,,,,2025/12/24,7,chatroom_entrance_clk,1529,1566,,,,
2025/12/25,7,chatroom_entrance_exp,190349,210736,,,,2025/12/24,7,chatroom_entrance_exp,186096,204870,,,4253,5866
2025/12/25,8,chatroom_entrance_clk,1264,1297,,,,2025/12/24,8,chatroom_entrance_clk,1213,1246,,,,
2025/12/25,8,chatroom_entrance_exp,155995,172713,,,,2025/12/24,8,chatroom_entrance_exp,153185,169623,,,2810,3090
2025/12/25,9,chatroom_entrance_clk,1053,1080,,,,2025/12/24,9,chatroom_entrance_clk,1069,1089,,,,
2025/12/25,9,chatroom_entrance_exp,128094,144764,,,,2025/12/24,9,chatroom_entrance_exp,123875,140247,,,4219,4517
2025/12/25,10,chatroom_entrance_clk,746,763,,,,2025/12/24,10,chatroom_entrance_clk,814,839,,,,
2025/12/25,10,chatroom_entrance_exp,93225,108678,,,,2025/12/24,10,chatroom_entrance_exp,96397,112161,,,-3172,-3483
2025/12/25,11,chatroom_entrance_clk,661,682,,,,2025/12/24,11,chatroom_entrance_clk,738,752,,,,
2025/12/25,11,chatroom_entrance_exp,85207,99598,,,,2025/12/24,11,chatroom_entrance_exp,84779,98991,,,428,607
2025/12/25,12,chatroom_entrance_clk,658,673,,,,2025/12/24,12,chatroom_entrance_clk,752,781,,,,
2025/12/25,12,chatroom_entrance_exp,83109,96554,,,,2025/12/24,12,chatroom_entrance_exp,83777,97754,,,-668,-1200
2025/12/25,13,chatroom_entrance_clk,756,770,,,,2025/12/24,13,chatroom_entrance_clk,717,742,,,,
2025/12/25,13,chatroom_entrance_exp,75934,90205,,,,2025/12/24,13,chatroom_entrance_exp,73224,88378,,,2710,1827
2025/12/25,14,chatroom_entrance_clk,972,1016,,,,2025/12/24,14,chatroom_entrance_clk,655,676,,,,
2025/12/25,14,chatroom_entrance_exp,83148,99907,,,,2025/12/24,14,chatroom_entrance_exp,70471,85931,,,12677,13976
2025/12/25,15,chatroom_entrance_clk,823,854,,,,2025/12/24,15,chatroom_entrance_clk,603,619,,,,
2025/12/25,15,chatroom_entrance_exp,66878,82849,,,,2025/12/24,15,chatroom_entrance_exp,65582,81206,,,1296,1643
2025/12/25,16,chatroom_entrance_clk,773,816,,,,2025/12/24,16,chatroom_entrance_clk,566,589,,,,
2025/12/25,16,chatroom_entrance_exp,62418,77653,,,,2025/12/24,16,chatroom_entrance_exp,60490,74709,,,1928,2944
2025/12/25,17,chatroom_entrance_clk,640,661,,,,2025/12/24,17,chatroom_entrance_clk,588,606,,,,
2025/12/25,17,chatroom_entrance_exp,58697,71745,,,,2025/12/24,17,chatroom_entrance_exp,60794,74176,,,-2097,-2431
2025/12/25,18,chatroom_entrance_clk,956,988,,,,2025/12/24,18,chatroom_entrance_clk,739,762,,,,
2025/12/25,18,chatroom_entrance_exp,85755,98599,,,,2025/12/24,18,chatroom_entrance_exp,85037,98647,,,718,-48
2025/12/25,19,chatroom_entrance_clk,998,1036,,,,2025/12/24,19,chatroom_entrance_clk,699,717,,,,
2025/12/25,19,chatroom_entrance_exp,84308,100877,,,,2025/12/24,19,chatroom_entrance_exp,79125,94260,,,5183,6617
